Altium Designer Pick and Place Locations
C:\Users\schoo\Documents\GitHub\Cloud_BuckConvertor\Technical\Cloud_Altium_Files\Cloud_BuckConverter\Project Outputs for Cloud_BuckConverter\Pick Place for Cloud_Buck_PCBLayout.csv

========================================================================================================================
File Design Information:

Date:       16/05/26
Time:       14:19
Revision:   2512ba9e6a7a723b93a56256e29cb726720a802d
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C5","GRM32ER61C476KE15L","TopLayer","G-32_MUR","2541.000","2536.000","90","Description"
"R2","CRCW060310K0FKEA","TopLayer","RES_CRCW_0603","2434.000","2065.000","180","D11/CRCW0603 100 10K 1% ET1 e3"
"C4","GRM1885C1H101JA01D","TopLayer","CAP_188_MUR","2460.000","2320.000","90","CAP CER 100PF 50V C0G/NP0 0603"
"R7","RC0805FR-071K5L","TopLayer","RC0805N_YAG","2740.000","2450.000","0","Description"
"R5","RC0805FR-071K5L","TopLayer","RC0805N_YAG","2742.000","2588.000","0","Description"
"LED2","LTST-C170KGKT","TopLayer","LED_LTST-C170KGKT_LTO","2945.500","2444.500","180","Description"
"LED1","LTST-C170KGKT","TopLayer","LED_LTST-C170KGKT_LTO","2947.000","2588.000","180","Description"
"U1","TPS56A37RPAR","TopLayer","RPA0010A-MFG","2513.504","1838.047","270","4.5V to 28V input, 10A synchronous buck converter 10-VQFN-HR -40 to 150"
"R4","CRCW080510K0FKEA","TopLayer","RES_CRCW_0805","3010.000","2215.000","90","D12/CRCW0805 100 10K 1% ET1 e3"
"R3","CRCW040252K3FKED","TopLayer","RES_CRCW_0402","2642.500","1867.000","0","D10/CRCW0402 100 52K3 1% ET7 e3"
"R1","ERJ-6ENF7322V","TopLayer","RC0805N_PAN","2430.000","2186.000","0","Description"
"Q1","IRF4905","TopLayer","IFX-PG-TO220-3-904-1","3010.000","1880.000","270","OptiMOS - P2 Power-Transistor, P-channel-Enhancement mode, VDS -30V"
"L1","XAL7070-332MEC","TopLayer","IND_XAL7070_COC","2160.000","2490.000","270","Description"
"J2","2604-1102","TopLayer","CONN2_2604-1102_WAG","1658.417","2405.425","270","Description"
"J1","2604-1102","TopLayer","CONN2_2604-1102_WAG","1653.583","1404.425","270","Description"
"F1","3568","TopLayer","3568_KEY","2395.000","1439.000","0","Description"
"D1","1N4742A","TopLayer","DIOAD1036W78L463D237","2795.000","1845.000","90","Zener Diode, Single, Two Terminal, 12V V(Z), 5%, DO-204AL"
"C6","GRM155R71C223KA01D","TopLayer","G-155_MUR","2405.000","1960.000","270","Description"
"C3","CC0805KRX7R9BB104","TopLayer","CC0805N_YAG","2177.000","1677.000","270","Description"
"C2","MSASU32MSB5106KPNA01","TopLayer","CAP_MSAS32-M_TAY","2047.000","1702.000","270","Description"
"C1","EMK107B7104KA-T","TopLayer","cap_UMK107ABJ474KA-T_TAY","2160.000","2225.000","90","Description"
